city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Nairne,-35.0333,138.9167,Australia,AU,South Australia,,5042,5042
Tahmoor,-34.2242,150.5922,Australia,AU,New South Wales,,5014,5014
Scone,-32.0833,150.8500,Australia,AU,New South Wales,,5013,5013
Kiama Downs,-34.6417,150.8500,Australia,AU,New South Wales,,5004,5004
Hazelbrook,-33.7333,150.4500,Australia,AU,New South Wales,,4974,4974
Lithgow,-33.4833,150.1500,Australia,AU,New South Wales,,4956,4956
Encounter Bay,-35.5794,138.5916,Australia,AU,South Australia,,4901,4901
Boulder,-30.7819,121.4886,Australia,AU,Western Australia,,4825,4825
Salamander Bay,-32.7292,152.0894,Australia,AU,New South Wales,,4815,4815
Albury,-36.0806,146.9158,Australia,AU,New South Wales,,4804,4804
Bucasia,-21.0312,149.1599,Australia,AU,Queensland,,4771,4771
Millicent,-37.5967,140.3524,Australia,AU,South Australia,,4760,4760
Churchill,-38.3167,146.4167,Australia,AU,Victoria,,4679,4679
Renmark,-34.1741,140.7418,Australia,AU,South Australia,,4634,4634
Wingham,-31.8667,152.3667,Australia,AU,New South Wales,,4556,4556
Maffra,-37.9500,146.9833,Australia,AU,Victoria,,4548,4548
Glenella,-21.1198,149.1544,Australia,AU,Queensland,,4519,4519
Rasmussen,-19.3536,146.7208,Australia,AU,Queensland,,4456,4456
Tanunda,-34.5167,138.9667,Australia,AU,South Australia,,4394,4394
Old Bar,-31.9667,152.5833,Australia,AU,New South Wales,,4389,4389
George Town,-41.1000,146.8167,Australia,AU,Tasmania,,4347,4347
Wyong,-33.2820,151.4180,Australia,AU,New South Wales,,4326,4326
Broadford,-37.2000,145.0667,Australia,AU,Victoria,,4319,4319
Drysdale,-38.1667,144.5667,Australia,AU,Victoria,,4275,4275
Tatura,-36.4333,145.2333,Australia,AU,Victoria,,4259,4259
Cockatoo,-37.9350,145.4920,Australia,AU,Victoria,,4256,4256
Deeragun,-19.2491,146.6766,Australia,AU,Queensland,,4250,4250
Victor Harbor,-35.5500,138.6167,Australia,AU,South Australia,,4233,4233
Latrobe,-41.2333,146.7500,Australia,AU,Tasmania,,4169,4169
Berri,-34.2833,140.6000,Australia,AU,South Australia,,4088,4088
Wellington,-32.5500,148.9333,Australia,AU,New South Wales,,4077,4077
Thirlmere,-34.2000,150.5667,Australia,AU,New South Wales,,4046,4046
Legana,-41.3667,147.0500,Australia,AU,Tasmania,,4029,4029
Temora,-34.4333,147.5333,Australia,AU,New South Wales,,4016,4016
The Entrance,-33.3472,151.4961,Australia,AU,New South Wales,,4006,4006
Mansfield,-37.0500,146.0833,Australia,AU,Victoria,,3999,3999
Gerringong,-34.7500,150.8333,Australia,AU,New South Wales,,3966,3966
Loxton,-34.4539,140.5669,Australia,AU,South Australia,,3947,3947
Somerset,-41.0333,145.8333,Australia,AU,Tasmania,,3903,3903
Korumburra,-38.4333,145.8167,Australia,AU,Victoria,,3869,3869
Picton,-34.1833,150.6000,Australia,AU,New South Wales,,3847,3847
Trafalgar,-38.2000,146.1500,Australia,AU,Victoria,,3839,3839
Pearcedale,-38.2030,145.2430,Australia,AU,Victoria,,3821,3821
Numurkah,-36.0833,145.4333,Australia,AU,Victoria,,3807,3807
Peregian Beach,-26.4805,153.0958,Australia,AU,Queensland,,3791,3791
Narrandera,-34.7500,146.5500,Australia,AU,New South Wales,,3783,3783
Suffolk Park,-28.6833,153.6167,Australia,AU,New South Wales,,3750,3750
Buninyong,-37.6503,143.8839,Australia,AU,Victoria,,3714,3714
Longford,-41.5958,147.1218,Australia,AU,Tasmania,,3711,3711
Kerang,-35.7167,143.9167,Australia,AU,Victoria,,3696,3696
Weston,-32.8150,151.4511,Australia,AU,New South Wales,,3693,3693
Sawtell,-30.3833,153.1000,Australia,AU,New South Wales,,3682,3682
Silverdale,-33.9422,150.5800,Australia,AU,New South Wales,,3682,3682
Roxby Downs,-30.5625,136.8785,Australia,AU,South Australia,,3671,3671
Bay View,-33.6592,151.2861,Australia,AU,New South Wales,,3620,3620
Lismore,-28.8167,153.2833,Australia,AU,New South Wales,,3579,3579
Merimbula,-36.8981,149.9011,Australia,AU,New South Wales,,3544,3544
Scarness,-25.2900,152.8538,Australia,AU,Queensland,,3519,3519
Lake Cathie,-31.5520,152.8550,Australia,AU,New South Wales,,3494,3494
Paynesville,-37.9167,147.7167,Australia,AU,Victoria,,3480,3480
Perth,-41.5731,147.1714,Australia,AU,Tasmania,,3472,3472
Maddingley,-37.6864,144.4336,Australia,AU,Victoria,,3453,3453
Proserpine,-20.4016,148.5808,Australia,AU,Queensland,,3440,3440
Cobar,-31.4997,145.8319,Australia,AU,New South Wales,,3369,3369
Aldgate,-35.0172,138.7377,Australia,AU,South Australia,,3361,3361
Port Fairy,-38.3667,142.2333,Australia,AU,Victoria,,3340,3340
Koo-Wee-Rup,-38.1980,145.4890,Australia,AU,Victoria,,3336,3336
Penguin,-41.1167,146.0708,Australia,AU,Tasmania,,3330,3330
Beachmere,-27.1294,153.0538,Australia,AU,Queensland,,3309,3309
Smithton,-40.8417,145.1250,Australia,AU,Tasmania,,3282,3282
McLaren Vale,-35.2198,138.5411,Australia,AU,South Australia,,3277,3277
Euroa,-36.7500,145.5667,Australia,AU,Victoria,,3275,3275
Bellingen,-30.4333,152.9000,Australia,AU,New South Wales,,3201,3201
Mullumbimby,-28.5500,153.5000,Australia,AU,New South Wales,,3172,3172
Tura Beach,-36.8500,149.9250,Australia,AU,New South Wales,,3158,3158
Eden,-37.0667,149.9000,Australia,AU,New South Wales,,3151,3151
Red Cliffs,-34.3075,142.1881,Australia,AU,Victoria,,3070,3070
Bogangar,-28.3318,153.5596,Australia,AU,New South Wales,,3060,3060
Shoalhaven Heads,-34.8500,150.7500,Australia,AU,New South Wales,,3059,3059
Blayney,-33.5333,149.2500,Australia,AU,New South Wales,,2997,2997
Stirling,-35.0000,138.7167,Australia,AU,South Australia,,2966,2966
Wilton,-34.2333,150.7000,Australia,AU,New South Wales,,2959,2959
Kapunda,-34.3389,138.9167,Australia,AU,South Australia,,2947,2947
Terranora,-28.2403,153.5017,Australia,AU,New South Wales,,2926,2926
Woori Yallock,-37.7780,145.5280,Australia,AU,Victoria,,2913,2913
Saint Georges Basin,-35.1300,150.6269,Australia,AU,New South Wales,,2913,2913
Camperdown,-38.2333,143.1500,Australia,AU,Victoria,,2884,2884
Culburra,-34.9333,150.7667,Australia,AU,New South Wales,,2874,2874
Deloraine,-41.5333,146.6667,Australia,AU,Tasmania,,2848,2848
Tea Gardens,-32.6669,152.1594,Australia,AU,New South Wales,,2837,2837
Bonny Hills,-31.5833,152.8333,Australia,AU,New South Wales,,2825,2825
McCrae,-38.3510,144.9220,Australia,AU,Victoria,,2823,2823
North Wonthaggi,-38.6000,145.6000,Australia,AU,Victoria,,2806,2806
Thursday Island,-10.5850,142.2205,Australia,AU,Queensland,,2805,2805
Urunga,-30.5000,153.0167,Australia,AU,New South Wales,,2731,2731
Vincentia,-35.0767,150.6736,Australia,AU,New South Wales,,2705,2705
West Wyalong,-33.9167,147.2167,Australia,AU,New South Wales,,2698,2698
Howlong,-35.9667,146.6333,Australia,AU,New South Wales,,2654,2654
Lawson,-33.7167,150.4333,Australia,AU,New South Wales,,2614,2614
Narooma,-36.2000,150.1333,Australia,AU,New South Wales,,2605,2605
Quirindi,-31.5081,150.6800,Australia,AU,New South Wales,,2602,2602
Condobolin,-33.0886,147.1494,Australia,AU,New South Wales,,2579,2579
Margate,-43.0294,147.2617,Australia,AU,Tasmania,,2572,2572
Aberdare,-32.8400,151.3800,Australia,AU,New South Wales,,2473,2473
Dodges Ferry,-42.8500,147.6167,Australia,AU,Tasmania,,2467,2467
Gilgandra,-31.7000,148.6667,Australia,AU,New South Wales,,2417,2417
Launching Place,-37.7740,145.5880,Australia,AU,Victoria,,2394,2394
Goolwa,-35.5000,138.7667,Australia,AU,South Australia,,2350,2350
Rutherglen,-36.0556,146.4625,Australia,AU,Victoria,,2324,2324
Hahndorf,-35.0303,138.8076,Australia,AU,South Australia,,2313,2313
Willunga,-35.2740,138.5535,Australia,AU,South Australia,,2300,2300
Sandy Beach,-30.1483,153.2011,Australia,AU,New South Wales,,2287,2287
Hadspen,-41.5000,147.0667,Australia,AU,Tasmania,,2275,2275
Beaconsfield Upper,-37.9960,145.4150,Australia,AU,Victoria,,2274,2274
Hill Top,-34.3500,150.4833,Australia,AU,New South Wales,,2262,2262
Williamstown,-34.6721,138.8884,Australia,AU,South Australia,,2238,2238
Jindabyne,-36.4000,148.6167,Australia,AU,New South Wales,,2233,2233
Freeling,-34.4500,138.8000,Australia,AU,South Australia,,2214,2214
Lobethal,-34.9000,138.8667,Australia,AU,South Australia,,2174,2174
The Oaks,-34.0768,150.5710,Australia,AU,New South Wales,,2171,2171
Baxter,-38.1960,145.1570,Australia,AU,Victoria,,2162,2162
Saint Arnaud,-36.6144,143.2500,Australia,AU,Victoria,,2126,2126
Esperance,-33.8611,121.8919,Australia,AU,Western Australia,,2080,2080
Heddon Greta,-32.8058,151.5100,Australia,AU,New South Wales,,2047,2047
Freshwater,-16.8855,145.7108,Australia,AU,Queensland,,2023,2023
Grenfell,-33.9000,148.1500,Australia,AU,New South Wales,,2022,2022
Bangalow,-28.7000,153.5167,Australia,AU,New South Wales,,2021,2021
Kawana Waters,-26.7330,153.1333,Australia,AU,Queensland,,2016,2016
Orbost,-37.7000,148.4500,Australia,AU,Victoria,,2014,2014
Manilla,-30.7500,150.7167,Australia,AU,New South Wales,,2014,2014
Camden Haven,-31.6503,152.7967,Australia,AU,New South Wales,,1986,1986
Wallerawang,-33.4110,150.0640,Australia,AU,New South Wales,,1980,1980
Wattleglen,-37.6630,145.1830,Australia,AU,Victoria,,1911,1911
Mulwala,-35.9819,146.0011,Australia,AU,New South Wales,,1904,1904
Barmera,-34.2500,140.4667,Australia,AU,South Australia,,1895,1895
Windsor,-33.6136,150.8117,Australia,AU,New South Wales,,1891,1891
Woodside,-34.9531,138.8742,Australia,AU,South Australia,,1890,1890
Lyndoch,-34.6037,138.8866,Australia,AU,South Australia,,1883,1883
Batehaven,-35.7333,150.2000,Australia,AU,New South Wales,,1776,1776
Queenstown,-42.0806,145.5556,Australia,AU,Tasmania,,1772,1772
Yarram,-38.5500,146.6667,Australia,AU,Victoria,,1739,1739
Brunswick Heads,-28.5333,153.5500,Australia,AU,New South Wales,,1686,1686
Waikerie,-34.1667,139.9833,Australia,AU,South Australia,,1670,1670
Westbury,-41.5167,146.8500,Australia,AU,Tasmania,,1666,1666
Yaroomba,-26.5525,153.0927,Australia,AU,Queensland,,1623,1623
Curlewis,-38.1833,144.5000,Australia,AU,Victoria,,1551,1551
Denman,-32.3833,150.6833,Australia,AU,New South Wales,,1547,1547
Bourke,-30.1000,145.9333,Australia,AU,New South Wales,,1535,1535
Nathalia,-36.0583,145.2036,Australia,AU,Victoria,,1529,1529
Tathra,-36.7317,149.9844,Australia,AU,New South Wales,,1523,1523
Cobden,-38.3333,143.0667,Australia,AU,Victoria,,1503,1503
Drummond Cove,-28.6730,114.6130,Australia,AU,Western Australia,,1477,1477
Canowindra,-33.5667,148.6667,Australia,AU,New South Wales,,1451,1451
Yarragon,-38.2000,146.0667,Australia,AU,Victoria,,1387,1387
Walgett,-30.0167,148.1167,Australia,AU,New South Wales,,1377,1377
Surfside,-35.6950,150.1997,Australia,AU,New South Wales,,1371,1371
Seven Mile Beach,-42.8563,147.5084,Australia,AU,Tasmania,,1286,1286
San Remo,-38.5167,145.3667,Australia,AU,Victoria,,1254,1254
Greenwell Point,-34.9083,150.7339,Australia,AU,New South Wales,,1209,1209
Valley Heights,-33.7000,150.5833,Australia,AU,New South Wales,,1188,1188
Oakdale,-34.0817,150.5011,Australia,AU,New South Wales,,1179,1179
Yallourn North,-38.1667,146.3667,Australia,AU,Victoria,,1107,1107
Innisfail,-17.5238,146.0311,Australia,AU,Queensland,,1091,1091
Mollymook,-35.3297,150.4753,Australia,AU,New South Wales,,1083,1083
Evandale,-41.5702,147.2467,Australia,AU,Tasmania,,1058,1058
Wahgunyah,-36.0093,146.3942,Australia,AU,Victoria,,1004,1004
